Ano,Física[18],Química[19],Fisiologiaou Medicina[20],Literatura[21],Paz[22],Economia (Prêmio Sveriges Riksbank)[23]
2011,Saul Perlmutter;Adam G. Riess;Brian Schmidt,Dan Shechtman,Bruce Beutler;Jules A. Hoffmann;Ralph Steinman,Tomas Tranströmer,Ellen Johnson Sirleaf;Leymah Gbowee;Tawakel Karman,Thomas Sargent;Christopher A. Sims
2012,Serge Haroche;David J. Wineland,Brian K. Kobilka;Robert J. Lefkowitz,John B. Gurdon; Shinya Yamanaka,Mo Yan,União Europeia,Alvin Roth;Lloyd S. Shapley
2013,François Englert;Peter W. Higgs,Martin Karplus;Michael Levitt;Arieh Warshel,James E. Rothman;Randy Schekman;Thomas Südhof,Alice Munro,Organização para a Proibição de Armas Químicas,Eugene F. Fama;Lars Peter Hansen;Robert J. Shiller
2014,Isamu Akasaki;Hiroshi Amano;Shuji Nakamura,William Moerner;Eric Betzig;Stefan Hell,John O'Keefe;May-Britt Moser;Edvard Moser,Patrick Modiano,Malala Yousafzai[G];Kailash Satyarthi,Jean Tirole
2015,Takaaki Kajita; Arthur B. McDonald,Tomas Lindahl;Paul Modrich;Aziz Sancar,William C. Campbell;Satoshi Ōmura;Tu Youyou,Svetlana Alexievich,Tunísia Quarteto para o Diálogo Nacional da,Angus Deaton
2016,David Thouless;Duncan Haldane;John M. Kosterlitz,Jean-Pierre Sauvage;Fraser Stoddart;Bernard Feringa,Yoshinori Ohsumi,Bob Dylan,Juan M. Santos,Oliver Hart;Bengt Holmström
2017,Rainer Weiss;Barry C. BarishKip Thorne,Jacques Dubochet;Joachim Frank;Richard Henderson,Jeffrey C. Hall;Michael RosbashMichael W. Young,Kazuo Ishiguro,Campanha Internacional para a Abolição de Armas Nucleares,Richard Thaler
2018,Arthur Ashkin;Gérard Mourou;Donna Strickland,Frances Arnold;George P. Smith;Gregory Winter,James P. Allison;Tasuku Honjo,Olga Tokarczuk[H],Denis Mukwege;Nadia Murad,William Nordhaus;Paul Romer
2019,James Peebles;Michel Mayor;Didier Queloz,John B. Goodenough;Michael S. Whittingham;Akira YoshinoAkira Yoshino,William Kaelin Jr.;Peter J. Ratcliffe;Gregg L. Semenza,Peter Handke,Abiy A. Ali,Abhijit Banerjee;Esther Duflo;Michael Kremer
2020,Roger Penrose;Reinhard Genzel;Andrea Ghez,Emmanuelle Charpentier;Jennifer Doudna,Harvey J. Alter;Michael Houghton;Charles M. Rice,Louise Glück,Programa Alimentar Mundial,Paul Milgrom;Robert B. Wilson
2021,Syukuro Manabe;Klaus Hasselmann;Giorgio Parisi,Benjamin List;David MacMillan,David Julius;Ardem Patapoutian,Abdulrazak Gurnah,Maria Ressa;Dmitry Muratov,David Card;Joshua AngristGuido Imbens
Ano,Física,Química,Fisiologiaou Medicina,Literatura,Paz,Economia (Prêmio Sveriges Riksbank)
